"","from","to"
"1","1","4"
"2","1","3"
"3","1","2"
"4","1","7"
"5","1","5"
"6","1","8"
"7","1","7"
"8","1","18"
"9","1","20"
"10","1","155"
"11","1","29"
"12","1","315"
"13","1","392"
"14","315","75"
"15","315","8"
"16","270","155"
"17","270","1"
"18","73","4"
"19","73","3"
"20","73","2"
"21","39","73"
"22","39","157"
"23","151","153"
"24","153","3"
"25","153","121"
"26","15","1"
"27","15","87"
"28","391","175"
"29","391","1"
"30","21","1"
"31","20","391"
"32","20","87"
"33","20","15"
"34","20","4"
"35","20","3"
"36","20","2"
"37","20","52"
"38","20","64"
"39","9","4"
"40","9","3"
"41","9","2"
"42","9","10"
"43","9","44"
"44","9","109"
"45","9","14"
"46","9","108"
"47","9","93"
"48","10","4"
"49","10","3"
"50","10","2"
"51","10","44"
"52","10","109"
"53","10","14"
"54","10","93"
"55","10","108"
"56","111","108"
"57","244","245"
"58","2","244"
"59","2","245"
"60","4","244"
"61","4","245"
"62","3","244"
"63","3","245"
"64","93","309"
"65","131","309"
"66","131","89"
"67","131","310"
"68","309","310"
"69","309","67"
"70","153","171"
"71","171","121"
"72","171","3"
"73","171","8"
"74","171","118"
"75","171","65"
"76","171","160"
"77","159","160"
"78","158","160"
"79","159","71"
"80","159","255"
"81","158","121"
"82","158","171"
"83","158","156"
"84","118","84"
"85","135","77"
"86","135","63"
"87","135","1"
"88","135","53"
"89","182","2"
"90","182","4"
"91","182","3"
"92","12","44"
"93","135","108"
"94","135","44"
"95","135","14"
"96","8","135"
"97","7","135"
"98","135","4"
"99","135","3"
"100","135","2"
"101","11","44"
"102","11","182"
"103","11","9"
"104","11","4"
"105","11","3"
"106","11","2"
"107","11","12"
"108","11","14"
"109","11","17"
"110","11","185"
"111","11","52"
"112","11","10"
"113","11","134"
"114","11","164"
"115","11","88"
"116","290","164"
"117","102","164"
"118","14","4"
"119","14","3"
"120","14","2"
"121","164","88"
"122","150","52"
"123","150","7"
"124","150","108"
"125","150","125"
"126","84","125"
"127","12","125"
"128","12","260"
"129","12","84"
"130","125","108"
"131","125","203"
"132","125","17"
"133","125","208"
"134","125","206"
"135","206","84"
"136","12","4"
"137","12","3"
"138","12","2"
"139","12","52"
"140","315","183"
"141","183","1"
"142","15","75"
"143","15","7"
"144","8","183"
"145","15","8"
"146","15","183"
"147","15","4"
"148","15","3"
"149","15","2"
"150","217","16"
"151","8","17"
"152","17","7"
"153","17","54"
"154","17","52"
"155","17","40"
"156","17","66"
"157","17","126"
"158","17","88"
"159","17","261"
"160","17","16"
"161","126","60"
"162","126","45"
"163","126","121"
"164","126","65"
"165","65","20"
"166","156","171"
"167","156","7"
"168","156","17"
"169","156","4"
"170","156","3"
"171","156","2"
"172","156","8"
"173","156","72"
"174","156","1"
"175","156","160"
"176","156","121"
"177","156","43"
"178","156","117"
"179","8","72"
"180","66","29"
"181","156","78"
"182","160","121"
"183","160","63"
"184","160","3"
"185","160","2"
"186","160","4"
"187","160","7"
"188","160","153"
"189","160","118"
"190","160","52"
"191","160","8"
"192","160","72"
"193","7","153"
"194","54","8"
"195","54","7"
"196","103","104"
"197","21","4"
"198","21","3"
"199","21","2"
"200","21","8"
"201","111","22"
"202","111","23"
"203","193","22"
"204","84","22"
"205","84","23"
"206","84","14"
"207","84","38"
"208","84","44"
"209","84","37"
"210","27","277"
"211","278","277"
"212","278","28"
"213","28","277"
"214","8","21"
"215","278","22"
"216","278","14"
"217","30","31"
"218","19","278"
"219","19","184"
"220","19","4"
"221","19","3"
"222","19","2"
"223","19","24"
"224","19","22"
"225","19","23"
"226","19","25"
"227","19","26"
"228","19","27"
"229","19","28"
"230","19","14"
"231","19","29"
"232","19","30"
"233","19","31"
"234","19","32"
"235","19","33"
"236","19","34"
"237","19","35"
"238","19","36"
"239","19","37"
"240","19","39"
"241","19","44"
"242","19","25"
"243","278","34"
"244","43","44"
"245","43","3"
"246","43","2"
"247","43","4"
"248","34","30"
"249","34","31"
"250","32","304"
"251","14","4"
"252","14","3"
"253","14","2"
"254","14","44"
"255","14","28"
"256","14","124"
"257","124","242"
"258","177","2"
"259","177","3"
"260","177","178"
"261","177","77"
"262","177","1"
"263","177","53"
"264","177","8"
"265","177","7"
"266","177","1"
"267","32","55"
"268","32","29"
"269","178","2"
"270","178","77"
"271","178","1"
"272","178","53"
"273","178","8"
"274","178","7"
"275","178","3"
"276","75","77"
"277","215","17"
"278","179","7"
"279","179","3"
"280","179","2"
"281","179","4"
"282","212","215"
